abandonado	1.68
abejas	3.18
aborto	2.80
abrasador	2.46
abrazo	8.13
abrumado	2.90
absurdo	3.80
abundancia	6.80
aburrido	2.33
accidente	1.32
ácido	3.41
acogedor	7.64
acontecimiento	5.99
acre	4.23
activar	6.00
acuerdo	7.24
acurrucarse	6.98
adicto	2.41
adinerado	6.21
admirado	7.33
adorable	7.48
adulto	5.68
afectar	3.48
afecto	8.10
afianzar	5.93
afligido	1.96
afortunado	7.71
agilidad	6.73
agobiado	2.06
agonía	1.74
agradecido	7.84
agresión	1.67
agresivo	1.96
agua	7.47
aguanieve	5.11
aguja	3.18
ahogarse	1.32
ahorrar	6.40
aire	6.83
alba	7.48
alcohólico	2.01
alegre	8.41
alergia	4.01
alerta	3.69
almohada	6.79
amabilidad	8.22
amable	7.81
amado	7.99
amanecer	8.01
amarillo	5.67
ambición	5.01
ambulancia	2.34
amenaza	1.99
amigable	8.14
amigo	8.41
amor	8.50
ampolla	2.54
ángel	6.87
angustiado	1.67
anhelo	4.42
ánimo	7.36
ansioso	3.63
aplastado	2.28
aplausos	7.67
aprender	7.13
aprobación	7.11
apuros	2.61
araña	3.07
árbol	6.53
arco-iris	7.39
arma	1.81
armario	5.10
arrepentido	4.50
arrogante	2.07
arte	7.09
as	6.41
ascensor	4.99
asediado	2.40
asesinar	1.18
asesino	1.23
asfixiarse	1.48
asiento	5.70
asombrado	5.52
áspero	3.27
asqueado	1.81
asqueroso	1.86
astronauta	5.67
asustado	2.54
ataúd	1.63
aterrorizado	1.96
ático	6.74
atracador	2.02
atrevido	6.51
atrocidad	1.74
aurora	7.29
autobús	4.51
avalancha	2.46
avaricia	2.44
avenida	4.86
aventura	7.76
avergonzado	2.51
avión	6.13
avispa	2.54
azúcar	6.68
azul	7.01
bailarín	7.14
bala	2.01
bancarrota	1.63
banco	5.14
bandera	4.92
bañera	6.76
baño	7.21
bar	6.53
barco	6.00
barril	4.73
bastardo	2.89
basto	3.07
bastón	3.83
basura	2.06
bebé	7.60
bebida	6.26
belleza	7.47
bendecir	5.70
beso	8.43
bestia	2.80
blanco	6.10
blasfemia	2.79
boda	6.87
bodega	5.23
bofetada	2.06
bomba	1.42
bombilla	5.29
botella	5.10
boxeador	3.62
brazo	5.37
brillante	7.03
brío	5.78
brisa	7.31
brutal	1.90
buceador	5.52
bueno	7.92
búho	5.92
bulto	3.10
burla	2.20
caballo	6.36
cable	4.53
cachorro	7.21
cadáver	1.41
caída	2.26
calidad	6.78
callado	4.03
calle	5.53
callejón	3.46
calmar	6.60
calor	5.92
cama	7.71
camión	4.67
campeón	7.29
campo	7.23
cáncer	1.23
canción	8.01
cansado	2.47
cañón	2.74
caos	2.00
capaz	7.52
capricho	5.92
cara	6.02
caramelo	7.33
cárcel	1.87
caricia	8.27
cariñoso	8.41
carretera	5.00
carro	4.53
carroña	2.08
carta	6.79
casa	7.03
cascada	7.20
casino	4.84
casita	6.69
castigo	1.87
celos	2.27
célula	4.91
cementerio	2.06
cena	6.58
cerdo	3.71
césped	6.31
cesta	5.18
chaleco	4.92
champiñón	4.88
chantaje	2.13
chica	5.97
chico	7.13
chiflado	4.03
chillido	2.78
chiste	7.20
chocolate	7.72
choque	2.01
cicatriz	3.01
ciclón	2.13
ciego	2.41
cielo	7.56
ciempiés	4.12
cieno	3.77
circo	6.20
círculo	4.82
cirugía	3.08
ciudad	5.66
cobarde	2.56
coche	6.67
cocina	5.71
cocinero	5.99
codo	4.59
