stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
est_4_1,1,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669075950714,-3.68908482377032,A,http://www.crtm.es,1,,Europe/Madrid,0
acc_4_1_1,1,Plaza de Castilla,Paseo de la Castellana 189,40.46683414801,-3.6890874702172,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_1040,1,Ascensor,Plaza de Castilla 9,40.4655552360079,-3.68867548019835,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_1043,1,Intercambiador Superficie,Paseo de la Castellana 191 B,40.4672878266825,-3.68905555244562,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_1044,1,Ascensor,Paseo de la Castellana 189,40.4670266144106,-3.68909033384183,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_2,1,Castellana impares,Paseo de la Castellana 189,40.4672265422238,-3.68942822304668,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_3,1,Bravo Murillo,Calle de Bravo Murillo 377,40.4662974270599,-3.69026654647245,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_4,1,Paseo Castellana pares,Plaza de Castilla 9,40.4654649455292,-3.68881517023722,,http://www.crtm.es,2,est_4_1,,0
acc_4_1_773,1,Intercambiador,Plaza de Castilla 3,40.4662201736376,-3.69019151483712,,http://www.crtm.es,2,est_4_1,,0
est_4_10,10,TRIBUNAL,Calle de Fuencarral 81,40.4261967446581,-3.70101168981248,A,http://www.crtm.es,1,,Europe/Madrid,0
acc_4_10_34,10,Barceló,Calle de Barceló 2,40.4262910578435,-3.70072807130029,,http://www.crtm.es,2,est_4_10,,0
acc_4_10_35,10,Fuencarral,Calle de Fuencarral 78,40.4262133823933,-3.70093768946039,,http://www.crtm.es,2,est_4_10,,0
acc_4_10_36,10,Tribunal de Cuentas,Calle de Fuencarral 81,40.4256999335356,-3.70101545547381,,http://www.crtm.es,2,est_4_10,,0
est_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.4200213672871,-3.70171376374231,A,http://www.crtm.es,1,,Europe/Madrid,0
acc_4_11_37,11,Gran Vía,Calle  Gran Vía 21,40.4199152878488,-3.70120879828284,,http://www.crtm.es,2,est_4_11,,0
acc_4_11_38,11,Gran Vía,Calle  Gran Vía 23,40.4199309150758,-3.70174237483737,,http://www.crtm.es,2,est_4_11,,0
acc_4_11_39,11,Fuencarral,Calle  Gran vía 28,40.4201381568919,-3.70172155465724,,http://www.crtm.es,2,est_4_11,,0
acc_4_11_40,11,Montera,Calle de la Montera 44,40.4195163509801,-3.70157906809476,,http://www.crtm.es,2,est_4_11,,0
est_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.4168864401114,-3.70316633485051,A,http://www.crtm.es,1,,Europe/Madrid,1
acc_4_12_1034,12,Alcalá,Plaza de la Puerta del Sol 13,40.4170832770092,-3.70286697000651,,http://www.crtm.es,2,est_4_12,,0
acc_4_12_1048,12,RENFE,Plaza de la Puerta del Sol 5,40.4168574567112,-3.70286733093632,,http://www.crtm.es,2,est_4_12,,0
acc_4_12_41,12,Carretas,Plaza de la Puerta del Sol 7,40.4166563378432,-3.70344111780431,,http://www.crtm.es,2,est_4_12,,0
